	male	female	p_allcause	male
0	0.004224	0.003503	0.003868547	0.507
1	0.000229	0.000214	0.000221605	
2	0.000127	0.000114	0.000120591	
3	0.000102	0.000095	0.000098549	
4	0.000086	0.000064	0.000075154	
5	0.000074	0.000074	0.000074	
6	0.000085	0.000071	0.000078098	
7	0.000067	0.000055	0.000061084	
8	0.000069	0.000058	0.000063577	
9	0.000060	0.000051	0.000055563	
10	0.000078	0.000066	0.000072084	
11	0.000077	0.000055	0.000066154	
12	0.000102	0.000057	0.000079815	
13	0.000116	0.000087	0.000101703	
14	0.000129	0.000096	0.000112731	
15	0.000172	0.000113	0.000142913	
16	0.000205	0.000131	0.000168518	
17	0.000311	0.000158	0.000235571	
18	0.000402	0.000218	0.000311288	
19	0.000454	0.000212	0.000334694	
20	0.000525	0.000187	0.000358366	
21	0.000507	0.000211	0.000361072	
22	0.000497	0.000245	0.000372764	
23	0.000524	0.000215	0.000371663	
24	0.000556	0.000223	0.000391831	
25	0.000601	0.00026	0.000432887	
26	0.000607	0.000257	0.00043445	
27	0.000629	0.00031	0.000471733	
28	0.000681	0.000314	0.000500069	
29	0.000728	0.000338	0.00053573	
30	0.000771	0.000387	0.000581688	
31	0.000835	0.000394	0.000617587	
32	0.000858	0.000468	0.00066573	
33	0.000957	0.000493	0.000728248	
34	0.000989	0.000585	0.000789828	
35	0.001100	0.000592	0.000849556	
36	0.001155	0.000678	0.000919839	
37	0.001351	0.000761	0.00106013	
38	0.001317	0.000792	0.001058175	
39	0.001457	0.000868	0.001166623	
40	0.001606	0.000924	0.001269774	
41	0.001700	0.001004	0.001356872	
42	0.001848	0.001102	0.001480222	
43	0.002015	0.001239	0.001632432	
44	0.002210	0.001345	0.001783555	
45	0.002467	0.001484	0.001982381	
46	0.002646	0.001625	0.002142647	
47	0.002743	0.001744	0.002250493	
48	0.002960	0.001966	0.002469958	
49	0.003297	0.002051	0.002682722	
50	0.003577	0.002234	0.002914901	
51	0.003821	0.002452	0.003146083	
52	0.004075	0.002581	0.003338458	
53	0.004402	0.002764	0.003594466	
54	0.004720	0.002964	0.003854292	
55	0.005046	0.003283	0.004176841	
56	0.005593	0.003637	0.004628692	
57	0.006060	0.003928	0.005008924	
58	0.006695	0.004367	0.005547296	
59	0.007239	0.004707	0.005990724	
60	0.007912	0.005247	0.006598155	
61	0.008636	0.005636	0.007157	
62	0.009601	0.006451	0.00804805	
63	0.010552	0.006818	0.008711138	
64	0.011171	0.007379	0.009301544	
65	0.012460	0.008113	0.010316929	
66	0.013853	0.00877	0.011347081	
67	0.014782	0.009554	0.012204596	
68	0.016348	0.010602	0.013515222	
69	0.017949	0.011458	0.014748937	
70	0.019238	0.012895	0.016110901	
71	0.020795	0.013637	0.017266106	
72	0.022782	0.015499	0.019191481	
73	0.025799	0.017289	0.02160357	
74	0.028776	0.019688	0.024295616	
75	0.032300	0.021766	0.027106738	
76	0.035730	0.024397	0.030142831	
77	0.040136	0.027918	0.034112526	
78	0.045188	0.03142	0.038400376	
79	0.050259	0.035713	0.043087822	
80	0.056143	0.039611	0.047992724	
81	0.062030	0.045127	0.053696821	
82	0.069197	0.050197	0.05983	
83	0.077486	0.057155	0.067462817	
84	0.087296	0.065142	0.076374078	
85	0.097476	0.073748	0.085778096	
86	0.110221	0.08452	0.097550407	
87	0.122808	0.095918	0.10955123	
88	0.137654	0.107798	0.122934992	
89	0.154513	0.121609	0.138291328	
90	0.163489	0.136466	0.150166661	
91	0.183325	0.153438	0.168590709	
92	0.200869	0.171026	0.186156401	
93	0.222981	0.189568	0.206508391	
94	0.244606	0.20787	0.226495152	
95	0.268951	0.230227	0.249860068	
96	0.290494	0.253171	0.272093761	
97	0.314050	0.277939	0.296247277	
98	0.335507	0.299649	0.317829006	
99	0.369942	0.31991	0.345276224	
100	0.390506	0.350742	0.370902348	
				
				
